,Project Loan/Credit/Grant,"Principal, US$","Available, US$","Disbursed, US$",Country,Status,Approval Date
108,IBRD95800,"1,000,000,000.00","971,002,725.01",-,Turkiye,Effective,6/27/2023
109,IBRD95580,"116,400,000.00","113,043,700.00",-,Croatia,Effective,6/22/2023
110,IDAE1970,"23,000,000.00","22,308,137.34","166,291.90",Tuvalu,Disbursing,5/19/2023
111,IBRD95620,"200,000,000.00","200,000,000.00",-,Angola,Signed,6/22/2023
112,IBRD95420,"750,000,000.00",-,"750,000,000.00",Colombia,Disbursing,6/14/2023
113,IBRD95630,"700,000,000.00","700,000,000.00",-,Mexico,Approved,6/23/2023
114,IBRD95750,"600,000,000.00","541,825,661.19",-,Indonesia,Approved,6/26/2023
115,IBRD95770,"600,000,000.00","600,000,000.00",-,Philippines,Effective,6/29/2023
116,IDA73220,"185,000,000.00",-,"185,000,000.00",Kenya,Disbursing,5/26/2023
117,IDA73230,"315,000,000.00",-,"315,000,000.00",Kenya,Disbursing,5/26/2023
118,IBRD95250,"500,000,000.00",-,"500,000,000.00",Kenya,Disbursing,5/26/2023
119,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
120,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
121,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
122,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
123,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
124,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
125,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
126,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
127,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
128,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
129,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
130,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
131,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
132,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
133,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
134,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
135,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
136,IDA73670,"263,824,069.00","257,440,026.00",-,Viet Nam,Approved,6/29/2023
137,IBRD95550,"150,000,000.00","150,000,000.00",-,Ecuador,Signed,6/9/2023
138,IBRD95790,"450,000,000.00","448,875,000.00","1,125,000.00",Turkiye,Disbursing,6/27/2023
139,IDA73750,"56,570,000.00","56,570,000.00",-,India,Approved,6/29/2023
140,IBRD95740,"1,443,430,000.00","1,443,430,000.00",-,India,Approved,6/29/2023
141,IBRD95780,"1,500,000,000.00",-,"1,500,000,000.00",Ukraine,Disbursing,6/29/2023
142,IBRD95800,"1,000,000,000.00","971,002,725.01",-,Turkiye,Effective,6/27/2023
143,IBRD95580,"116,400,000.00","113,043,700.00",-,Croatia,Effective,6/22/2023
144,IDAE1970,"23,000,000.00","22,308,137.34","166,291.90",Tuvalu,Disbursing,5/19/2023
145,IBRD95620,"200,000,000.00","200,000,000.00",-,Angola,Signed,6/22/2023
146,IBRD95420,"750,000,000.00",-,"750,000,000.00",Colombia,Disbursing,6/14/2023
147,IBRD95630,"700,000,000.00","700,000,000.00",-,Mexico,Approved,6/23/2023
148,IBRD95750,"600,000,000.00","541,825,661.19",-,Indonesia,Approved,6/26/2023
